Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
sigmasq.indiv.lftemp   0.921   0.781  0.261  0.495  0.739  1.119  2.662 1.002  2500
sigmasq.photo          0.306   0.102  0.171  0.239  0.289  0.352  0.546 1.001  3200
deviance              49.072  17.797 16.859 36.687 48.783 60.879 83.737 1.002  2600

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 158.3 and DIC = 207.4
DIC is an estimate of expected predictive error (lower deviance is better).
