Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
phx.ph[1,1]            0.220   0.110   0.086  0.144  0.195  0.266  0.504 1.002  1800
phx.ph[2,1]            0.079   0.100  -0.091  0.017  0.067  0.129  0.312 1.001  4000
phx.ph[3,1]            0.004   0.065  -0.126 -0.031  0.003  0.039  0.135 1.001  4000
phx.ph[4,1]           -0.046   0.073  -0.221 -0.079 -0.037 -0.002  0.070 1.001  4000
phx.ph[1,2]            0.079   0.100  -0.091  0.017  0.067  0.129  0.312 1.001  4000
phx.ph[2,2]            0.480   0.199   0.218  0.342  0.441  0.569  0.973 1.001  4000
phx.ph[3,2]            0.118   0.100  -0.036  0.055  0.104  0.164  0.362 1.001  4000
phx.ph[4,2]            0.020   0.093  -0.160 -0.031  0.018  0.068  0.213 1.002  1900
phx.ph[1,3]            0.004   0.065  -0.126 -0.031  0.003  0.039  0.135 1.001  4000
phx.ph[2,3]            0.118   0.100  -0.036  0.055  0.104  0.164  0.362 1.001  4000
phx.ph[3,3]            0.209   0.087   0.099  0.149  0.192  0.245  0.423 1.001  4000
phx.ph[4,3]            0.080   0.065  -0.020  0.039  0.070  0.110  0.230 1.002  3800
phx.ph[1,4]           -0.046   0.073  -0.221 -0.079 -0.037 -0.002  0.070 1.001  4000
phx.ph[2,4]            0.020   0.093  -0.160 -0.031  0.018  0.068  0.213 1.002  1900
phx.ph[3,4]            0.080   0.065  -0.020  0.039  0.070  0.110  0.230 1.002  3800
phx.ph[4,4]            0.202   0.092   0.091  0.141  0.183  0.238  0.440 1.001  4000
rho.lf[1,1]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]           -0.094   0.183  -0.440 -0.222 -0.098  0.028  0.284 1.000  4000
rho.lf[3,1]           -0.407   0.159  -0.677 -0.522 -0.419 -0.303 -0.058 1.001  4000
rho.lf[4,1]            0.244   0.174  -0.117  0.130  0.253  0.364  0.560 1.001  3500
rho.lf[5,1]            0.251   0.173  -0.104  0.138  0.257  0.373  0.560 1.001  4000
rho.lf[1,2]           -0.094   0.183  -0.440 -0.222 -0.098  0.028  0.284 1.000  4000
rho.lf[2,2]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]            0.049   0.183  -0.304 -0.079  0.050  0.175  0.411 1.001  4000
rho.lf[4,2]           -0.060   0.185  -0.409 -0.187 -0.063  0.066  0.304 1.001  4000
rho.lf[5,2]            0.210   0.178  -0.158  0.091  0.220  0.339  0.530 1.001  4000
rho.lf[1,3]           -0.407   0.159  -0.677 -0.522 -0.419 -0.303 -0.058 1.001  4000
rho.lf[2,3]            0.049   0.183  -0.304 -0.079  0.050  0.175  0.411 1.001  4000
rho.lf[3,3]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
